price,timestamp,name,color
3395960,2021-12-31 09:44:54,TerraGroup Labs keycard (Violet),gold
3396969,2021-12-31 09:44:54,TerraGroup Labs keycard (Violet),gold
51000,2021-12-31 09:50:20,TerraGroup Labs weapon testing area key,gold
52999,2021-12-31 09:50:20,TerraGroup Labs weapon testing area key,gold
53000,2021-12-31 09:50:20,TerraGroup Labs weapon testing area key,gold
55500,2021-12-31 09:50:20,TerraGroup Labs weapon testing area key,gold
56000,2021-12-31 09:50:20,TerraGroup Labs weapon testing area key,gold
56997,2021-12-31 09:50:20,TerraGroup Labs weapon testing area key,gold
57000,2021-12-31 09:50:20,TerraGroup Labs weapon testing area key,gold
57420,2021-12-31 09:50:20,TerraGroup Labs weapon testing area key,gold
58000,2021-12-31 09:50:20,TerraGroup Labs weapon testing area key,gold
59000,2021-12-31 09:50:20,TerraGroup Labs weapon testing area key,gold
59999,2021-12-31 09:50:20,TerraGroup Labs weapon testing area key,gold
59999,2021-12-31 09:50:20,TerraGroup Labs weapon testing area key,gold
47999,2021-12-31 10:35:48,TerraGroup Labs manager's office room key,gold
49000,2021-12-31 10:35:48,TerraGroup Labs manager's office room key,gold
50000,2021-12-31 10:35:48,TerraGroup Labs manager's office room key,gold
50000,2021-12-31 10:35:48,TerraGroup Labs manager's office room key,gold
55420,2021-12-31 10:35:48,TerraGroup Labs manager's office room key,gold
56000,2021-12-31 10:35:48,TerraGroup Labs manager's office room key,gold
59999,2021-12-31 10:35:48,TerraGroup Labs manager's office room key,gold
60000,2021-12-31 10:35:48,TerraGroup Labs manager's office room key,gold
60000,2021-12-31 10:35:48,TerraGroup Labs manager's office room key,gold
60000,2021-12-31 10:35:48,TerraGroup Labs manager's office room key,gold
60000,2021-12-31 10:35:48,TerraGroup Labs manager's office room key,gold
62222,2021-12-31 10:35:48,TerraGroup Labs manager's office room key,gold
32000,2021-12-31 10:52:42,TerraGroup Labs arsenal storage room key,gold
33000,2021-12-31 10:52:42,TerraGroup Labs arsenal storage room key,gold
33000,2021-12-31 10:52:42,TerraGroup Labs arsenal storage room key,gold
33000,2021-12-31 10:52:42,TerraGroup Labs arsenal storage room key,gold
34000,2021-12-31 10:52:42,TerraGroup Labs arsenal storage room key,gold
34000,2021-12-31 10:52:42,TerraGroup Labs arsenal storage room key,gold
34111,2021-12-31 10:52:42,TerraGroup Labs arsenal storage room key,gold
34999,2021-12-31 10:52:42,TerraGroup Labs arsenal storage room key,gold
40000,2021-12-31 10:52:42,TerraGroup Labs arsenal storage room key,gold
40000,2021-12-31 10:52:42,TerraGroup Labs arsenal storage room key,gold
110000,2021-12-31 10:52:42,TerraGroup Labs arsenal storage room key,gold
535000,2021-12-31 11:33:01,TerraGroup Labs keycard (Yellow),gold
539999,2021-12-31 11:33:01,TerraGroup Labs keycard (Yellow),gold
540000,2021-12-31 11:33:01,TerraGroup Labs keycard (Yellow),gold
544443,2021-12-31 11:33:01,TerraGroup Labs keycard (Yellow),gold
544444,2021-12-31 11:33:01,TerraGroup Labs keycard (Yellow),gold
